cue/word,response/neighbor,similarity,P(r|c)
evidence,clue,0.32759466767311096,0.02197802197802198
steel,girder,0.36120855808258057,0.0035211267605633804
receiver,football,0.3092365562915802,0.125
day,tuesday,0.3091088533401489,0.0035714285714285713
student,degree,0.30805307626724243,0.0035460992907801418
minister,deacon,0.315680593252182,0.0037174721189591076
blanket,cold,0.31940293312072754,0.013888888888888888
vast,resources,0.33547940850257874,0.003424657534246575
director,boss,0.3522716164588928,0.05734767025089606
waist,butt,0.3169538676738739,0.0035335689045936395
certain,type,0.3120550513267517,0.0036900369003690036
flow,fluid,0.36725476384162903,0.020905923344947737
pan,cook,0.3265623450279236,0.06666666666666667
build,make,0.3736061453819275,0.04642857142857143
sweep,wipe,0.3709881603717804,0.0034602076124567475
camp,scout,0.3712465167045593,0.007220216606498195
fighting,conflict,0.35823923349380493,0.0071174377224199285
home,farm,0.3268047571182251,0.0034129692832764505
port,boats,0.33724647760391235,0.0035335689045936395
training,exercise,0.3645762801170349,0.03180212014134275
optimistic,relaxed,0.35352182388305664,0.0036231884057971015
exciting,bright,0.3028770685195923,0.003663003663003663
property,owner,0.3224949836730957,0.007017543859649123
cabin,crew,0.3221685290336609,0.006993006993006993
die,bury,0.332236647605896,0.0037735849056603774
rice,sushi,0.3637782633304596,0.03819444444444445
forehead,frown,0.3694741725921631,0.0036231884057971015
confuse,bamboozled,0.39635545015335083,0.004016064257028112
political,discourse,0.38199374079704285,0.0036900369003690036
tribe,family,0.31207191944122314,0.033962264150943396
glimpse,see,0.3245229721069336,0.15053763440860216
owner,restaurant,0.35173046588897705,0.0035842293906810036
valid,cogent,0.31919628381729126,0.003676470588235294
hair,styling,0.34860819578170776,0.003389830508474576
excitement,chaos,0.35556912422180176,0.0035587188612099642
ash,cloud,0.30854544043540955,0.010273972602739725
electronic,equipment,0.3000396490097046,0.013986013986013986
mill,wool,0.315559059381485,0.0036231884057971015
global,recession,0.32287517189979553,0.003472222222222222
score,count,0.31640946865081787,0.0036231884057971015
increasing,grow,0.39328888058662415,0.010830324909747292
drug,gang,0.3178822696208954,0.0034965034965034965
fine,punishment,0.3109091818332672,0.0036363636363636364
tax,irs,0.3344963490962982,0.0071174377224199285
overcome,win,0.32620349526405334,0.0599250936329588
