cue/word,response/neighbor,similarity,P(r|c)
survey,poll,0.6964737772941589,0.029304029304029304
suburb,exurb,0.5150726437568665,0.0037313432835820895
suburb,neighborhood,0.5661248564720154,0.011194029850746268
suburb,outskirts,0.5711804032325745,0.018656716417910446
suburb,suburban,0.7525224089622498,0.0037313432835820895
midnight,night,0.5019987225532532,0.059233449477351915
midnight,midday,0.508048415184021,0.006968641114982578
midnight,hours,0.5126165151596069,0.003484320557491289
midnight,evening,0.5156048536300659,0.003484320557491289
midnight,dawn,0.5690994262695312,0.003484320557491289
midnight,noon,0.6476032137870789,0.013937282229965157
metaphor,trope,0.5132573843002319,0.004016064257028112
metaphor,symbolism,0.5254888534545898,0.004016064257028112
metaphor,synonym,0.5409709811210632,0.004016064257028112
metaphor,parable,0.5884703397750854,0.004016064257028112
metaphor,simile,0.6561470031738281,0.14457831325301204
metaphor,allegory,0.6749078631401062,0.012048192771084338
metaphor,analogy,0.6850659251213074,0.028112449799196786
tomato,beefsteak,0.50006502866745,0.0033783783783783786
tomato,gazpacho,0.5191180109977722,0.0033783783783783786
tomato,vine,0.5204225778579712,0.02027027027027027
tomato,salad,0.5655369162559509,0.037162162162162164
tomato,cilantro,0.5958274602890015,0.0033783783783783786
tomato,fruit,0.59865802526474,0.10472972972972973
tomato,vegetables,0.6162595748901367,0.0033783783783783786
tomato,eggplant,0.6266651153564453,0.0033783783783783786
tomato,basil,0.6383588314056396,0.013513513513513514
tomato,vegetable,0.6411334276199341,0.030405405405405407
tomato,potato,0.6784172654151917,0.033783783783783786
tomato,lettuce,0.7069936394691467,0.010135135135135136
storm,weather,0.5032117366790771,0.05136986301369863
storm,tempest,0.5059472918510437,0.003424657534246575
storm,thunderstorm,0.6346598863601685,0.003424657534246575
storm,tornado,0.6416176557540894,0.017123287671232876
storm,hurricane,0.7321895360946655,0.017123287671232876
ritual,tradition,0.5423882007598877,0.055944055944055944
ritual,rites,0.5946899056434631,0.0034965034965034965
ritual,rite,0.6740316152572632,0.05944055944055944
react,reaction,0.5262548327445984,0.04938271604938271
react,overreact,0.5591297149658203,0.00411522633744856
react,respond,0.6948147416114807,0.09876543209876543
documentary,biopic,0.5325667262077332,0.0036900369003690036
documentary,filmmaker,0.6097539067268372,0.007380073800738007
documentary,film,0.6345423460006714,0.15129151291512916
withdrawal,withdraw,0.6884700059890747,0.004149377593360996
withdrawal,pullout,0.7770799994468689,0.004149377593360996
rapidly,swiftly,0.5317693948745728,0.019762845849802372
rapidly,fast,0.552555501461029,0.25691699604743085
rapidly,quickly,0.6444301605224609,0.22134387351778656
daily,weekday,0.5160490274429321,0.0035714285714285713
daily,everyday,0.5678663849830627,0.05714285714285714
daily,nightly,0.6125197410583496,0.007142857142857143
daily,weekly,0.6712698340415955,0.05
exist,existence,0.5178786516189575,0.0076045627376425855
same,different,0.5060206651687622,0.10218978102189781
same,similar,0.5174533128738403,0.14233576642335766
not,no,0.5200426578521729,0.13147410358565736
not,even,0.5229367017745972,0.00398406374501992
not,what,0.5372008681297302,0.00398406374501992
not,because,0.5394052863121033,0.00796812749003984
not,only,0.5427590012550354,0.01195219123505976
not,nothing,0.5573198795318604,0.00796812749003984
not,so,0.5594910979270935,0.01593625498007968
not,nor,0.5620302557945251,0.00796812749003984
not,but,0.5824041962623596,0.00398406374501992
not,that,0.5835707783699036,0.00398406374501992
not,yet,0.5969278216362,0.0199203187250996
not,know,0.60809326171875,0.00398406374501992
not,if,0.6096044778823853,0.00398406374501992
not,neither,0.6098145246505737,0.00398406374501992
not,never,0.6317113637924194,0.043824701195219126
not,necessarily,0.6628232002258301,0.00398406374501992
not,do,0.712573230266571,0.00398406374501992
tactic,methods,0.5155013203620911,0.0038461538461538464
tactic,technique,0.5282828211784363,0.011538461538461539
tactic,method,0.5811327695846558,0.011538461538461539
tactic,ploy,0.6871162056922913,0.007692307692307693
tactic,tactics,0.7376583218574524,0.0038461538461538464
event,gala,0.5399578809738159,0.018315018315018316
event,festival,0.5446758270263672,0.007326007326007326
nose,mouth,0.5034812092781067,0.03180212014134275
nose,throat,0.5164586305618286,0.0035335689045936395
nose,ear,0.5210537314414978,0.0176678445229682
nose,schnoz,0.5459684133529663,0.01060070671378092
nose,nostril,0.5722237229347229,0.04240282685512368
nose,nostrils,0.597740888595581,0.01060070671378092
blend,combine,0.5113344788551331,0.042704626334519574
blend,combination,0.532532811164856,0.0035587188612099642
blend,meld,0.6118696331977844,0.0071174377224199285
blend,mixture,0.625958263874054,0.0071174377224199285
blend,mix,0.6287610530853271,0.2099644128113879
open,closed,0.5819659233093262,0.0912280701754386
celebrate,congratulate,0.5041787028312683,0.014336917562724014
celebrate,commemorate,0.7094196677207947,0.0035842293906810036
celebrate,celebration,0.7418113350868225,0.0035842293906810036
lots,bunch,0.5310800075531006,0.011627906976744186
lots,oodles,0.540165901184082,0.003875968992248062
lots,plenty,0.6895226240158081,0.023255813953488372
excellent,awesome,0.5089989900588989,0.07749077490774908
excellent,admirable,0.5097213387489319,0.0036900369003690036
excellent,brilliant,0.5133283734321594,0.014760147601476014
excellent,superior,0.5141448378562927,0.014760147601476014
excellent,fabulous,0.5188026428222656,0.01107011070110701
excellent,stellar,0.5223404765129089,0.01107011070110701
excellent,perfect,0.5409587621688843,0.02952029520295203
excellent,amazing,0.5470210909843445,0.007380073800738007
excellent,outstanding,0.556748628616333,0.01845018450184502
excellent,wonderful,0.5614796280860901,0.03690036900369004
excellent,phenomenal,0.5656530857086182,0.0036900369003690036
excellent,marvelous,0.5829285383224487,0.0036900369003690036
excellent,exemplary,0.5959650278091431,0.0036900369003690036
excellent,great,0.6124600768089294,0.12915129151291513
excellent,good,0.6442928910255432,0.09225092250922509
excellent,fantastic,0.6802846789360046,0.04797047970479705
excellent,exceptional,0.681470513343811,0.007380073800738007
excellent,superb,0.7062715888023376,0.03690036900369004
excellent,terrific,0.7409728169441223,0.014760147601476014
body,torso,0.5452914237976074,0.028368794326241134
body,corpse,0.5529568195343018,0.02127659574468085
wash,bathe,0.5034168362617493,0.01060070671378092
wash,rinse,0.6653478741645813,0.0176678445229682
maintenance,repair,0.5497981905937195,0.051470588235294115
maintenance,repairs,0.618676483631134,0.007352941176470588
maintenance,upkeep,0.6508280038833618,0.05514705882352941
health,welfare,0.5055442452430725,0.0035087719298245615
