cue/word,response/neighbor,similarity,P(r|c)
draft,preparatory,0.19280962646007538,0.0035335689045936395
official,office,0.194946750998497,0.019083969465648856
reserve,forest,0.18503941595554352,0.007407407407407408
general,speaking,0.1959788054227829,0.0036900369003690036
full,capacity,0.19098718464374542,0.014814814814814815
advance,science,0.19261373579502106,0.007518796992481203
general,rank,0.1803608536720276,0.01107011070110701
interview,quiz,0.19649431109428406,0.0035211267605633804
first,off,0.19484533369541168,0.003663003663003663
call,when,0.19626069068908691,0.0035971223021582736
record,disc,0.19847583770751953,0.026615969581749048
strike,association,0.1960630565881729,0.0035971223021582736
search,wander,0.19318898022174835,0.0036900369003690036
week,finished,0.1849294900894165,0.003968253968253968
profile,personality,0.19336675107479095,0.007380073800738007
sponsor,ads,0.18216313421726227,0.010830324909747292
trade,capitalism,0.1918211430311203,0.003472222222222222
bureau,investigation,0.19679595530033112,0.03515625
draft,report,0.1994783580303192,0.0035335689045936395
package,deliver,0.19964316487312317,0.014598540145985401
bid,gamble,0.1819293349981308,0.011278195488721804
arena,chariot,0.19528847932815552,0.007168458781362007
general,officer,0.18210569024085999,0.01845018450184502
weekly,mail,0.1878293752670288,0.007662835249042145
telephone,speak,0.19106535613536835,0.01824817518248175
connection,tie,0.19329999387264252,0.011494252873563218
credit,recognition,0.19700798392295837,0.0035842293906810036
place,rank,0.19829407334327698,0.003703703703703704
reserve,aboriginal,0.18953508138656616,0.003703703703703704
manager,helper,0.1893635392189026,0.003937007874015748
manager,business,0.19058279693126678,0.003937007874015748
general,military,0.19470322132110596,0.05904059040590406
entry,race,0.1851966232061386,0.0035842293906810036
note,email,0.19532833993434906,0.0036101083032490976
gain,ground,0.19733737409114838,0.0036231884057971015
agency,branch,0.19497933983802795,0.0035971223021582736
four,team,0.19923417270183563,0.0076045627376425855
toll,tariff,0.17550863325595856,0.0035211267605633804
post,email,0.18912413716316223,0.0036101083032490976
visit,tourist,0.19233828783035278,0.003676470588235294
several,multifarious,0.1951857954263687,0.0038022813688212928
reward,given,0.19720281660556793,0.0036496350364963502
share,ownership,0.19225971400737762,0.007352941176470588
today,never,0.18356238305568695,0.003745318352059925
today,hour,0.1717361956834793,0.003745318352059925
